ID,Manager,Name Country,Title,First,Middle,Last,Suffix,Type,Reason,Hire Date,End Date,Job Code,Position,Business,Location,Office,Time Type,Assigned Shift,Default Weekly Hours,Scheduled Weekly Hours,Pay Type,Custom Job Class,WCC,Effective Date,Address Country,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Address Line 5,Address Line 6,Address Line 7,Address Line 8,Address Line 9,Address Line 1 - Local,Address Line 2 - Local,Address Line 3 - Local,Address Line 4 - Local,Address Line 5 - Local,Address Line 6 - Local,Address Line 7 - Local,Address Line 8 - Local,Address Line 9 - Local,City,City Subdivision 1,City Subdivision 2,City Subdivision 1 - Local,City Subdivision 2 - Local,Country Region,Region Subdivision 1,Region Subdivision 2,Region Subdivision 1 - Local,Region Subdivision 2 - Local,Postal Code,Address Public,Address Primary,Address Type,Address Use For,Local City,Address ID,Country Code,Phone Country Code,Number,Extension,Device Type,Phone Public,Phone Primary,Phone Usage Type,Phone Use For,Phone ID,Email Address,Comments,Email Public,Email Primary,Email Usage Type,Email Use For,Email ID
21001,21431,United States of America,,Logan,,McNeil,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Vice_President_Human_Resources,"Vice President, Human Resources","Vice President, Human Resources",San_Francisco,San_Francisco_Embarcadero_Tower_1_Office_of_the_CHRO,FT,,40,40,Salaried,,,3/25/2008,USA,42 Laurel Street,,,,,,,,,,,,,,,,,,San Francisco,,,,,California,,,,,94118,,Yes,Home,,,Logan_McNeil_42_Laurel_Street,1,United States of America (+1),(415) 441-7842,,Landline,Public,Yes,Home,,Logan_McNeil_HOME_Primary,lmcneil@hcm.show,,Public,Yes,Work,,Logan_McNeil_WORK_Primary
21002,21002,United States of America,,Steve,,Morgan,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Chief_Executive_Officer,Chief Executive Officer,Chief Executive Officer,San_Francisco,San_Francisco_Embarcadero_Tower_1_Office_of_the_CEO,FT,,40,40,Salaried,,8810,1/7/2008,USA,965 Tulare Avenue,,,,,,,,,,,,,,,,,,Berkeley,,,,,California,,,,,94707,,Yes,Home,,,Steve_Morgan_965_Tulare_Avenue,1,United States of America (+1),(510) 635-1856,,Landline,Public,Yes,Home,,Steve_Morgan_HOME_Primary,smorgan@hcm.show,,Public,Yes,Work,,Steve_Morgan_WORK_Primary
21003,21002,United States of America,,Oliver,,Reynolds,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Chief_Information_Officer,Chief Information Officer,Chief Information Officer,San_Francisco,San_Francisco_Embarcadero_Tower_1_Office_of_the_CIO,FT,,40,40,Salaried,,8810,1/7/2008,USA,2788 Clay Street,,,,,,,,,,,,,,,,,,San Francisco,,,,,California,,,,,94111,,Yes,Home,,,Oliver_Reynolds_2788_Clay_Street,1,United States of America (+1),(415) 435-1163,,Landline,Public,Yes,Home,,Oliver_Reynolds_HOME_Primary,oreynolds@hcm.show,,Public,Yes,Work,,Oliver_Reynolds_WORK_Primary
21004,21002,United States of America,,Maximilian,,Schneider,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Chief_Operating_Officer,Chief Operating Officer,Chief Operating Officer,Chicago,,FT,,40,40,Salaried,,8810,1/7/2008,USA,262 Canal Street,,,,,,,,,,,,,,,,,,Chicago,,,,,Illinois,,,,,60606,,Yes,Home,,,Maximilian_Schneider_262_Canal_Street,1,United States of America (+1),(312) 766-0809,,Landline,Public,Yes,Home,,Maximilian_Schneider_HOME_Primary,mschneider@hcm.show,,Public,Yes,Work,,Maximilian_Schneider_WORK_Primary
21005,21430,United States of America,,Teresa,,Serrano,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Controller,Controller,Controller,New_York,New_York_1155_Building_Office_of_the_CFO,FT,,40,40,Salaried,,8810,1/7/2008,USA,"265 East 68th Street, #18",,,,,,,,,,,,,,,,,,New York,,,,,New York,,,,,10021,,Yes,Home,,,Teresa_Serrano_265_East_68th_Street_18,1,United States of America (+1),(212) 755-8292,,Landline,Public,Yes,Home,,Teresa_Serrano_HOME_Primary,tserrano@hcm.show,,Public,Yes,Work,,Teresa_Serrano_WORK_Primary
21006,21001,United States of America,,Maria,,Cardoza,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Director_Employee_Benefits,"Director, Employee Benefits","Director, Employee Benefits",San_Francisco,San_Francisco_Embarcadero_Tower_1_Cubicle_1009,FT,,40,40,Salaried,,8810,1/7/2008,USA,4432 John Daly Blvd.,,,,,,,,,,,,,,,,,,Daly City,,,,,California,,,,,94707,,Yes,Home,,,Maria_Cardoza_4432_John_Daly_Blvd,1,United States of America (+1),(415) 445-6767,,Landline,Public,Yes,Home,,Maria_Cardoza_HOME_Primary,mcardoza@hcm.show,,Public,Yes,Work,,Maria_Cardoza_WORK_Primary
21007,21001,United States of America,,Jacqueline,,Desjardins,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Director_Recruiting_Services,"Director, Recruiting Services","Director, Recruiting Services",San_Francisco,San_Francisco_Embarcadero_Tower_1_Cubicle_1001,FT,,40,40,Salaried,,8810,1/7/2008,USA,1888 Broadway Street  Apt. # 910,,,,,,,,,,,,,,,,,,San Francisco,,,,,California,,,,,94109,,Yes,Home,,,Jacqueline_Desjardins_1888_Broadway_Street_Apt_910,1,United States of America (+1),(415) 828-1466,,Landline,Public,Yes,Home,,Jacqueline_Desjardins_HOME_Primary,jdesjardins@hcm.show,,Public,Yes,Work,,Jacqueline_Desjardins_WORK_Primary
21008,21001,United States of America,,Beth,,Liu,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Director_Payroll_Operations,"Director, Payroll Operations","Director, Payroll Operations",San_Francisco,San_Francisco_Embarcadero_Tower_1_Cubicle_1011,FT,,40,40,Salaried,,8810,5/18/2003,USA,6533 Chelton Drive,,,,,,,,,,,,,,,,,,Oakland,,,,,California,,,,,94611,,Yes,Home,,,Betty_Liu_6533_Chelton_Drive,1,United States of America (+1),(925) 445-6778,,Mobile,Public,Yes,Home,,Betty_Liu_HOME_Primary,bliu@hcm.show,,Public,Yes,Work,,Betty_Liu_WORK_Primary
21009,21431,United States of America,,Pedro,,Santiago,,Regular,Hire Employee > New Hire > New Position,1/1/2000,,Director_Workforce_Planning,"Director, Workforce Planning","Director, Workforce Planning",New_York,New_York_1155_Building_Cubicle_1517,FT,,40,40,Salaried,,8810,1/1/2000,USA,5067 Thomas Street,,,,,,,,,,,,,,,,,,Annapolis,,,,,Maryland,,,,,21409,,Yes,Home,,,Pedro_Santiago_5067_Thomas_Street,1,United States of America (+1),(510) 431-1256,,Landline,Public,Yes,Home,,Pedro_Santiago_HOME_Primary,psantiago@hcm.show,,Public,Yes,Work,,Pedro_Santiago_WORK_Primary
21012,21008,United States of America,,Norman,,Chan,,Regular,Hire Employee > New Hire > Fill Vacancy,1/1/2000,,Staff_Payroll_Specialist,Staff Payroll Specialist,Staff Payroll Specialist,San_Francisco,San_Francisco_Embarcadero_Tower_1_Cubicle_1013,FT,,40,40,Salaried,,8810,6/22/2007,USA,541 Biscayne Drive,,,,,,,,,,,,,,,,,,San Rafael,,,,,California,,,,,94901,,Yes,Home,,,Norman_Chan_541_Biscayne_Drive,1,United States of America (+1),(415) 333-4554,,Mobile,Public,Yes,Home,,Norman_Chan_HOME_Primary,nchan@hcm.show,,Public,Yes,Work,,Norman_Chan_WORK_Primary
